iter	Passed	Remaining
0	2	2444
1	5	2895
2	9	3006
3	12	3052
4	16	3294
5	19	3281
6	22	3250
7	27	3386
8	31	3514
9	35	3479
10	38	3446
11	41	3406
12	45	3427
13	48	3425
14	51	3400
15	53	3291
16	56	3267
17	58	3217
18	60	3109
19	63	3097
20	66	3093
21	69	3098
22	72	3090
23	75	3057
24	77	3026
25	79	2996
26	82	2968
27	84	2943
28	87	2920
29	89	2896
30	91	2855
31	93	2835
32	96	2817
33	98	2798
34	100	2782
35	103	2767
36	106	2770
37	108	2757
38	111	2753
39	115	2762
40	118	2771
41	121	2771
42	125	2786
43	128	2793
44	131	2787
45	134	2788
46	138	2810
47	142	2828
48	146	2843
49	149	2843
50	152	2831
51	154	2820
52	157	2807
53	160	2814
54	163	2801
55	165	2790
56	167	2778
57	170	2766
58	172	2756
59	175	2749
60	177	2739
61	180	2728
62	182	2718
63	185	2707
64	187	2698
65	190	2689
66	192	2682
67	195	2673
68	197	2664
69	199	2656
70	202	2647
71	203	2620
72	205	2611
73	208	2604
74	210	2597
75	213	2589
76	215	2582
77	217	2575
78	220	2568
79	222	2560
80	225	2554
81	227	2548
82	230	2541
83	232	2535
84	234	2528
85	237	2522
86	239	2515
87	242	2509
88	244	2502
89	246	2496
90	249	2491
91	251	2486
92	254	2480
93	256	2474
94	259	2468
95	261	2462
96	263	2457
97	266	2453
98	269	2448
99	271	2443
100	273	2437
101	276	2432
102	278	2428
103	281	2425
104	283	2420
105	286	2415
106	288	2410
107	291	2405
108	293	2400
109	296	2395
110	298	2390
111	300	2385
112	303	2380
113	305	2375
114	308	2370
115	310	2366
116	312	2361
117	315	2356
118	316	2341
119	318	2335
120	319	2321
121	321	2316
122	324	2311
123	326	2307
124	329	2304
125	331	2299
126	333	2295
127	336	2291
128	338	2287
129	341	2283
130	342	2274
131	345	2270
132	347	2266
133	350	2262
134	352	2258
135	354	2254
136	357	2250
137	359	2246
138	361	2239
139	363	2235
140	366	2231
141	368	2228
142	371	2224
143	373	2220
144	376	2217
145	378	2213
146	380	2210
147	383	2207
148	385	2204
149	388	2200
150	390	2197
151	393	2193
152	395	2190
153	398	2186
154	400	2183
155	402	2180
156	405	2176
157	407	2172
158	410	2169
159	412	2166
160	415	2162
161	417	2159
162	419	2156
163	422	2152
164	424	2149
165	427	2146
166	429	2142
167	431	2139
168	434	2136
169	436	2133
170	439	2129
171	441	2126
172	444	2123
173	446	2120
174	449	2116
175	451	2114
176	453	2110
177	456	2107
178	458	2103
179	461	2100
180	463	2097
181	466	2094
182	468	2091
183	470	2088
184	473	2085
185	475	2081
186	478	2078
187	480	2075
188	482	2072
189	485	2069
190	487	2066
191	490	2062
192	492	2059
193	495	2056
194	497	2053
195	499	2050
196	502	2047
197	504	2044
198	507	2041
199	509	2039
200	512	2036
201	514	2033
202	517	2030
203	519	2028
204	522	2025
205	524	2022
206	527	2019
207	529	2016
208	532	2013
209	534	2010
210	536	2007
211	539	2004
212	541	2001
213	544	1998
214	546	1995
215	548	1992
216	551	1989
217	553	1986
218	556	1983
219	558	1980
220	561	1977
221	563	1975
222	566	1972
223	568	1969
224	570	1966
225	573	1963
226	575	1960
227	578	1957
228	580	1954
229	582	1951
230	585	1948
231	587	1945
232	590	1942
233	592	1939
234	594	1936
235	597	1934
236	599	1931
237	602	1928
238	604	1925
239	607	1922
240	609	1920
241	612	1917
242	614	1914
243	617	1911
244	620	1911
245	623	1910
246	626	1911
247	629	1909
248	631	1906
249	634	1903
250	636	1900
251	639	1897
252	641	1894
253	644	1892
254	646	1889
255	649	1886
256	651	1884
257	654	1881
258	656	1878
259	659	1875
260	662	1875
261	664	1872
262	667	1869
263	669	1866
264	672	1864
265	674	1861
266	676	1858
267	680	1858
268	683	1858
269	687	1858
270	690	1856
271	693	1855
272	696	1854
273	699	1854
274	703	1854
275	706	1852
276	709	1851
277	712	1849
278	714	1846
279	716	1843
280	719	1840
281	721	1838
282	724	1835
283	727	1833
284	729	1830
285	731	1827
286	734	1824
287	735	1818
288	737	1815
289	740	1812
290	742	1809
291	745	1806
292	747	1803
293	749	1800
294	752	1797
295	754	1794
296	757	1792
297	759	1789
298	761	1786
299	764	1783
300	766	1780
301	769	1777
302	771	1775
303	774	1772
304	776	1769
305	779	1766
306	781	1763
307	783	1760
308	786	1758
309	788	1755
310	791	1752
311	793	1749
312	795	1746
313	798	1744
314	800	1741
315	803	1738
316	805	1736
317	808	1733
318	810	1730
319	813	1727
320	815	1724
321	817	1722
322	820	1719
323	822	1716
324	825	1713
325	827	1711
326	830	1708
327	832	1705
328	835	1703
329	837	1700
330	840	1698
331	842	1695
332	845	1693
333	847	1690
334	850	1688
335	853	1686
336	855	1683
337	858	1681
338	860	1678
339	863	1676
340	866	1673
341	868	1671
342	871	1668
343	873	1666
344	877	1665
345	879	1663
346	882	1660
347	885	1659
348	888	1658
349	892	1657
350	895	1656
351	899	1656
352	904	1657
353	908	1657
354	911	1656
355	915	1656
356	920	1657
357	923	1656
358	926	1654
359	930	1653
360	934	1653
361	937	1652
362	940	1651
363	944	1649
364	947	1648
365	950	1646
366	954	1645
367	957	1644
368	960	1642
369	963	1641
370	967	1639
371	970	1638
372	973	1635
373	976	1634
374	980	1633
375	982	1630
376	985	1629
377	989	1627
378	992	1626
379	996	1625
380	999	1623
381	1002	1621
382	1005	1620
383	1009	1619
384	1012	1617
385	1015	1615
386	1019	1614
387	1022	1612
388	1025	1610
389	1028	1609
390	1032	1607
391	1035	1606
392	1038	1604
393	1042	1602
394	1045	1601
395	1048	1599
396	1052	1598
397	1055	1596
398	1058	1593
399	1060	1591
400	1062	1587
401	1065	1584
402	1067	1581
403	1070	1579
404	1072	1576
405	1075	1573
406	1078	1570
407	1080	1568
408	1083	1565
409	1086	1563
410	1088	1560
411	1091	1557
412	1093	1554
413	1096	1552
414	1099	1549
415	1102	1547
416	1105	1545
417	1108	1543
418	1111	1541
419	1114	1539
420	1117	1536
421	1119	1533
422	1122	1531
423	1125	1528
424	1127	1525
425	1130	1522
426	1132	1520
427	1135	1517
428	1137	1513
429	1139	1510
430	1142	1507
431	1144	1505
432	1147	1502
433	1150	1500
434	1151	1495
435	1154	1492
436	1156	1490
437	1158	1487
438	1161	1484
439	1163	1481
440	1166	1478
441	1169	1475
442	1171	1472
443	1173	1469
444	1176	1467
445	1178	1464
446	1181	1461
447	1183	1458
448	1186	1455
449	1188	1452
450	1190	1449
451	1193	1447
452	1195	1444
453	1198	1441
454	1200	1438
455	1203	1435
456	1205	1432
457	1208	1429
458	1210	1426
459	1212	1423
460	1215	1420
461	1217	1417
462	1219	1414
463	1222	1412
464	1224	1409
465	1227	1406
466	1229	1403
467	1232	1400
468	1234	1397
469	1237	1394
470	1239	1392
471	1241	1389
472	1244	1386
473	1246	1383
474	1248	1379
475	1250	1376
476	1252	1373
477	1255	1370
478	1257	1367
479	1259	1364
480	1262	1361
481	1264	1359
482	1267	1356
483	1269	1353
484	1272	1350
485	1274	1347
486	1276	1345
487	1279	1342
488	1281	1339
489	1284	1336
490	1286	1333
491	1289	1330
492	1291	1328
493	1293	1325
494	1296	1322
495	1299	1320
496	1301	1317
497	1304	1314
498	1306	1312
499	1309	1309
500	1311	1306
501	1314	1303
502	1316	1300
503	1319	1298
504	1321	1295
505	1324	1292
506	1326	1289
507	1328	1287
508	1331	1284
509	1333	1281
510	1336	1278
511	1338	1275
512	1341	1273
513	1343	1270
514	1345	1267
515	1348	1264
516	1350	1261
517	1353	1259
518	1355	1256
519	1358	1253
520	1360	1250
521	1362	1248
522	1365	1245
523	1367	1242
524	1370	1239
525	1372	1236
526	1375	1234
527	1377	1231
528	1379	1228
529	1382	1225
530	1384	1223
531	1387	1220
532	1389	1217
533	1392	1215
534	1394	1212
535	1397	1209
536	1399	1206
